"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","45893","strategOpenTest","Gradle suite","Tue Feb 11 19:04:18 MSK 2025","passed","Tue Feb 11 19:05:04 MSK 2025","com.example.Suit1.tests.StrategTests","Gradle test","com.example.Suit1.tests.StrategTests","strategOpenTest"
"","46303","businessZayavkaTest","Gradle suite","Tue Feb 11 19:03:30 MSK 2025","passed","Tue Feb 11 19:04:16 MSK 2025","com.example.Suit1.tests.MenuTests","Gradle test","com.example.Suit1.tests.MenuTests","businessZayavkaTest"
